"Non-Hispanic White","2000-2022",3.8,74381,1596594702
"Non-Hispanic White","2000",0.0,0,69526730
"Non-Hispanic White","2001",0.0,0,69599595
"Non-Hispanic White","2002",0.0,0,69577940
"Non-Hispanic White","2003",0.0,0,69520781
"Non-Hispanic White","2004",0.0,0,69463076
"Non-Hispanic White","2005",0.0,0,69276691
"Non-Hispanic White","2006",0.0,0,69219329
"Non-Hispanic White","2007",0.0,0,69212041
"Non-Hispanic White","2008",0.0,0,69266030
"Non-Hispanic White","2009",0.0,0,69309876
"Non-Hispanic White","2010",6.1,5078,69359447
"Non-Hispanic White","2011",6.1,5186,69494955
"Non-Hispanic White","2012",6.3,5328,69638460
"Non-Hispanic White","2013",6.5,5521,69705253
"Non-Hispanic White","2014",7.1,6135,69811107
"Non-Hispanic White","2015",7.2,6267,69877823
"Non-Hispanic White","2016",7.2,6227,69881177
"Non-Hispanic White","2017",7.1,6188,69799544
"Non-Hispanic White","2018",6.9,6052,69660762
"Non-Hispanic White","2019",6.6,5777,69475540
"Non-Hispanic White","2020",6.2,5347,69173138
"Non-Hispanic White","2021",6.6,5723,68603704
"Non-Hispanic White","2022",6.4,5552,68141703
"Non-Hispanic Black","2000-2022",4.4,14491,353318692
"Non-Hispanic Black","2000",0.0,0,13654210
"Non-Hispanic Black","2001",0.0,0,13801638
"Non-Hispanic Black","2002",0.0,0,13936765
"Non-Hispanic Black","2003",0.0,0,14049323
"Non-Hispanic Black","2004",0.0,0,14174631
"Non-Hispanic Black","2005",0.0,0,14208256
"Non-Hispanic Black","2006",0.0,0,14381373
"Non-Hispanic Black","2007",0.0,0,14552175
"Non-Hispanic Black","2008",0.0,0,14729640
"Non-Hispanic Black","2009",0.0,0,14916688
"Non-Hispanic Black","2010",7.0,956,15100115
"Non-Hispanic Black","2011",6.4,929,15301344
"Non-Hispanic Black","2012",6.7,991,15498683
"Non-Hispanic Black","2013",6.7,988,15687733
"Non-Hispanic Black","2014",7.1,1109,15891892
"Non-Hispanic Black","2015",7.6,1165,16097946
"Non-Hispanic Black","2016",7.8,1252,16295957
"Non-Hispanic Black","2017",7.8,1256,16482623
"Non-Hispanic Black","2018",7.4,1217,16648923
"Non-Hispanic Black","2019",7.0,1158,16819409
"Non-Hispanic Black","2020",6.8,1151,16952752
"Non-Hispanic Black","2021",6.6,1145,17007636
"Non-Hispanic Black","2022",6.7,1174,17128980
"Non-Hispanic American Indian/Alaska Native","2000-2022",3.5,687,20621436
"Non-Hispanic American Indian/Alaska Native","2000",0.0,0,842782
"Non-Hispanic American Indian/Alaska Native","2001",0.0,0,849473
"Non-Hispanic American Indian/Alaska Native","2002",0.0,0,854106
"Non-Hispanic American Indian/Alaska Native","2003",0.0,0,857734
"Non-Hispanic American Indian/Alaska Native","2004",0.0,0,861869
"Non-Hispanic American Indian/Alaska Native","2005",0.0,0,864932
"Non-Hispanic American Indian/Alaska Native","2006",0.0,0,867448
"Non-Hispanic American Indian/Alaska Native","2007",0.0,0,870830
"Non-Hispanic American Indian/Alaska Native","2008",0.0,0,876221
"Non-Hispanic American Indian/Alaska Native","2009",0.0,0,882051
"Non-Hispanic American Indian/Alaska Native","2010",4.6,38,886775
"Non-Hispanic American Indian/Alaska Native","2011",6.1,47,894118
"Non-Hispanic American Indian/Alaska Native","2012",5.0,45,901697
